District,LBCode,LBName,WardCode,WardName,Party,Candidate,Gender,Age,Address,Votes,Type,Rank,Lead,Front,LBType,Tier,WardTotalVotes,VotePercentage,Assembly,VoteBin,VoteStrength,Strength
IDUKKI,G06027,Karimannoor,G06027014,EZHUMUTTOM,IND,മേരി വർഗ്ഗീസ് കാക്കരകുന്നേൽ,,,,281,G,2,-199,OTH,Grama,Ward,761,36.93,Thodupuzha,30-40%,,-100 to -199
IDUKKI,G06028,Kudayathoor,G06028001,KUDAYATHOOR NORTH,CPI,ചന്ദ്രൻ പി.ആർ,,,,290,G,1,149,LDF,Grama,Ward,486,59.67,Idukki,50-60%,,100-199
IDUKKI,G06028,Kudayathoor,G06028001,KUDAYATHOOR NORTH,KC,പ്രദീപ് കുമാർ (ഷാജി),,,,141,G,2,-149,UDF,Grama,Ward,486,29.01,Idukki,20-30%,,-100 to -199
IDUKKI,G06028,Kudayathoor,G06028001,KUDAYATHOOR NORTH,BJP,രാജീവ് കെ കെ,,,,55,G,3,-235,NDA,Grama,Ward,486,11.32,Idukki,10-20%,,-200 to -499
IDUKKI,G06028,Kudayathoor,G06028002,KAIPPA,CPI,തോമസ് സഖറിയാസ്,,,,278,G,1,58,LDF,Grama,Ward,606,45.87,Idukki,40-50%,,50-99
IDUKKI,G06028,Kudayathoor,G06028002,KAIPPA,INC,അഞ്ജലീന സിജോ,,,,220,G,2,-58,UDF,Grama,Ward,606,36.3,Idukki,30-40%,,-50 to -99
IDUKKI,G06028,Kudayathoor,G06028002,KAIPPA,BJP,അഭിലാഷ്.എം.ആർ,,,,108,G,3,-170,NDA,Grama,Ward,606,17.82,Idukki,10-20%,,-100 to -199
IDUKKI,G06027,Karimannoor,G06027015,KURUMBALAMATTOM,IND,സുകുകുമാര്‍ കുറുമ്മാത്ത്,,,,362,G,1,93,OTH,Grama,Ward,905,40,Thodupuzha,30-40%,,50-99
IDUKKI,G06027,Karimannoor,G06027015,KURUMBALAMATTOM,INC,സോജന്‍ വര്‍ഗീസ്,,,,269,G,2,-93,UDF,Grama,Ward,905,29.72,Thodupuzha,20-30%,,-50 to -99
IDUKKI,G06027,Karimannoor,G06027015,KURUMBALAMATTOM,IND,ശ്രീനിവാസന്‍ പി എസ്സ്,,,,192,G,3,-170,OTH,Grama,Ward,905,21.22,Thodupuzha,20-30%,,-100 to -199
IDUKKI,G06027,Karimannoor,G06027015,KURUMBALAMATTOM,AAP,ഷിജോ മാത്യു,,,,82,G,4,-280,OTH,Grama,Ward,905,9.06,Thodupuzha,0-10%,,-200 to -499
IDUKKI,G06028,Kudayathoor,G06028003,NJARALAMPUZHA,INC,കെ.കെ.മുരളീധരൻ,,,,283,G,1,43,UDF,Grama,Ward,555,50.99,Idukki,50-60%,,Jan-49
IDUKKI,G06028,Kudayathoor,G06028003,NJARALAMPUZHA,CPI(M),അരുണ്‍ തങ്കച്ചൻ,,,,240,G,2,-43,LDF,Grama,Ward,555,43.24,Idukki,40-50%,,-1 to -49
IDUKKI,G06028,Kudayathoor,G06028003,NJARALAMPUZHA,BJP,ശങ്കരപ്പിള്ള.പി.കെ.,,,,19,G,3,-264,NDA,Grama,Ward,555,3.42,Idukki,0-10%,,-200 to -499
IDUKKI,G06028,Kudayathoor,G06028003,NJARALAMPUZHA,IND,റെനി ജോസഫ്,,,,13,G,4,-270,OTH,Grama,Ward,555,2.34,Idukki,0-10%,,-200 to -499
IDUKKI,G06028,Kudayathoor,G06028004,KANJAR,IUML,നസിയ,,,,397,G,1,240,UDF,Grama,Ward,577,68.8,Idukki,60-70%,,200-499
IDUKKI,G06028,Kudayathoor,G06028004,KANJAR,IND,ദീപ നവാസ്,,,,157,G,2,-240,OTH,Grama,Ward,577,27.21,Idukki,20-30%,,-200 to -499
IDUKKI,G06028,Kudayathoor,G06028004,KANJAR,BJP,പ്രസന്ന രവി,,,,23,G,3,-374,NDA,Grama,Ward,577,3.99,Idukki,0-10%,,-200 to -499
IDUKKI,G06028,Kudayathoor,G06028005,KOOVAPPALLY,INC,റോണിയോ ജെറീഷ്,,,,236,G,1,4,UDF,Grama,Ward,501,47.11,Idukki,40-50%,,Jan-49
IDUKKI,G06028,Kudayathoor,G06028005,KOOVAPPALLY,IND,ലിസ്സി,,,,232,G,2,-4,OTH,Grama,Ward,501,46.31,Idukki,40-50%,,-1 to -49
IDUKKI,G06028,Kudayathoor,G06028005,KOOVAPPALLY,BJP,സുമതി രവീന്ദ്രൻ,,,,33,G,3,-203,NDA,Grama,Ward,501,6.59,Idukki,0-10%,,-200 to -499
